molecule_chembl_id,canonical_smiles,standard_value,0,MW,LogP,NumHDonors,NumHAcceptors,standard_value_norm,pIC50_values
CHEMBL68540,CCCc1c(OCc2ccc(/C=C3\SC(=S)NC3=O)cc2)ccc(C(C)=O)c1OC,48400.0,inactive,441.5740000000002,4.918100000000004,1.0,6.0,48400.0,4.315154638355588
CHEMBL69980,CCCc1c(COc2ccc(/C=C3\SC(=S)NC3=O)cc2)ccc(C(=O)c2ccccc2)c1O,210.0,active,489.61800000000017,5.643500000000005,2.0,6.0,210.0,6.6777807052660805
CHEMBL68538,O=C1NC(=S)S/C1=C\c1ccc(COc2ccc(C(=O)c3ccccc3)cc2)cc1,780.0,active,431.5380000000001,4.985400000000004,1.0,5.0,780.0,6.107905397309519
CHEMBL68971,CCCc1c(COc2ccc(/C=C3\SC(=S)NC3=O)cc2)ccc(C(C)=O)c1OC(C)=O,33000.0,inactive,469.5840000000002,4.834800000000004,1.0,7.0,33000.0,4.481486060122112
CHEMBL70042,CCCc1c(OCc2ccc(/C=C3\SC(=S)NC3=O)cc2)ccc(C(=O)c2ccccc2O)c1O,620.0,active,505.6170000000002,5.349100000000005,3.0,7.0,620.0,6.2076083105017466
CHEMBL68617,O=C1NC(=S)S/C1=C\c1ccc(COc2ccc(C(=O)c3ccccc3)c(O)c2Cc2ccccc2)cc1,820.0,active,537.6620000000003,6.281800000000006,2.0,6.0,820.0,6.086186147616283
CHEMBL68595,CCCc1c(OCc2ccc(/C=C3\SC(=S)NC3=O)cc2)ccc(C(=O)c2ccccc2)c1O,340.0,active,489.61800000000017,5.643500000000005,2.0,6.0,340.0,6.468521082957745
CHEMBL68214,CC(=O)c1ccc(COc2ccc(/C=C3\SC(=S)NC3=O)cc2)cc1O,14100.0,inactive,385.46600000000007,3.6626000000000025,2.0,6.0,14100.0,4.85078088734462
CHEMBL302534,CCCc1c(COc2ccc(/C=C3\SC(=S)NC3=O)cc2)ccc(C(C)=O)c1O,640.0,active,427.54700000000014,4.615100000000004,2.0,6.0,640.0,6.1938200260161125
CHEMBL69180,CCCc1c(OCc2ccc(/C=C3\SC(=S)NC3=O)cc2)ccc(C(=O)c2cncc(C(=O)O)c2)c1O,690.0,active,534.6150000000002,4.736700000000004,3.0,8.0,690.0,6.161150909262744
CHEMBL69209,CCc1c(COc2ccc(/C=C3\SC(=S)NC3=O)cc2)ccc(C(C)=O)c1O,17600.0,inactive,413.52000000000015,4.225000000000004,2.0,6.0,17600.0,4.7544873321858505
CHEMBL173204,CN1CCCCC([C@@H](O)[C@H](CC2CCCCC2)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)C1=O,135.0,active,666.864,3.6476000000000033,5.0,7.0,135.0,6.8696662315049934
CHEMBL353944,CCCCN1C(=O)[C@H]([C@H](O)[C@H](CC2CCCCC2)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)CC1(C)C,100.0,active,708.9449999999998,4.8163000000000045,5.0,7.0,100.0,7.0
CHEMBL323465,CCCCNC(=O)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)CC1CN(Cc2ccc(-c3ccccc3)cc2)CCN1C(=O)CC(CN)c1ccc(Cl)cc1,45000.0,inactive,752.3999999999999,5.937300000000006,4.0,6.0,45000.0,4.346787486224656
CHEMBL169870,C=C[C@H]1C[C@@H]([C@H](O)[C@H](CC2CCCCC2)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)C(=O)N1C,250.0,active,664.848,3.4220000000000037,5.0,7.0,250.0,6.6020599913279625
CHEMBL355128,CN1CC[C@@H]([C@H](O)[C@H](CC2CCCCC2)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)C1=O,600.0,active,638.8100000000001,2.8674000000000035,5.0,7.0,600.0,6.221848749616356
CHEMBL1169538,CN1CC[C@H]([C@H](O)[C@H](CC2CCCCC2)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)C1=O,10000.0,inactive,638.8100000000001,2.8674000000000035,5.0,7.0,10000.0,5.0
CHEMBL170504,CN1C(=O)[C@H]([C@H](O)[C@H](CC2CCCCC2)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)CC1(C)C,150.0,active,666.8639999999998,3.646000000000004,5.0,7.0,150.0,6.823908740944319
CHEMBL1169539,CN1CCC([C@@H](O)[C@H](CC2CCCCC2)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)C1=O,10000.0,inactive,638.8100000000001,2.8674000000000035,5.0,7.0,10000.0,5.0
CHEMBL354505,C=C[C@@H]1C[C@@H]([C@H](O)[C@H](CC2CCCCC2)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)C(=O)N1C,175.0,active,664.848,3.4220000000000037,5.0,7.0,175.0,6.756961951313706
CHEMBL171236,COC[C@@H]1C[C@@H]([C@H](O)[C@H](CC2CCCCC2)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)C(=O)N1C,280.0,active,682.8629999999999,2.882400000000004,5.0,8.0,280.0,6.552841968657781
CHEMBL354360,CN1C(=O)[C@H]([C@H](O)[C@H](CC2CCCCC2)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)C[C@H]1COCc1ccccc1,115.0,active,758.9609999999998,4.452800000000005,5.0,8.0,115.0,6.939302159646388
CHEMBL170772,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H]1CCN(C2CCCCC2)C1=O,500.0,active,706.9289999999999,4.570300000000004,5.0,7.0,500.0,6.301029995663981
CHEMBL104966,CC(C)[C@H](NC(=O)[C@H](NCc1ccccc1)[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)(C)C)C(=O)NCc1ccccc1,60.0,active,749.9530000000001,5.031500000000004,6.0,7.0,60.0,7.221848749616356
CHEMBL319672,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@@H](NCc1ccccc1)C(=O)N[C@H](C(=O)NCc1ccccc1)C(C)C,35.0,active,735.926,4.641400000000004,6.0,7.0,35.0,7.455931955649724
CHEMBL318803,COc1ccc(CN[C@@H](C(=O)N[C@H](C(=O)NCc2nc3ccccc3[nH]2)C(C)C)[C@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)OCc2ccccc2)C(C)C)cc1,380.0,active,805.9770000000001,4.526300000000005,7.0,9.0,380.0,6.42021640338319
